REGIAO:;SE
UF:;RJ
ESTACAO:;NITEROI
CODIGO (WMO):;A627
LATITUDE:;-22,86749999
LONGITUDE:;-43,10194444
ALTITUDE:;6
DATA DE FUNDACAO:;13/07/18
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;1010,9;1010,9;1010,5;;29,5;21,2;29,5;29,1;21,5;21,2;64;61;61;264;4,9;,3;
2026/01/01;0100 UTC;0;1011,1;1011,1;1010,9;;29,2;22,2;29,7;29,1;22,2;21,2;66;61;66;123;2,5;,2;
2026/01/01;0200 UTC;0;1010,9;1011,1;1010,9;;28,7;22,1;29,2;28,7;22,4;21,9;69;65;67;245;1,6;,3;
2026/01/01;0300 UTC;0;1010,4;1010,9;1010,4;;28,4;21,7;29,1;28,4;22,4;21,2;69;63;67;36;1,5;,3;
2026/01/01;0400 UTC;0;1009,9;1010,4;1009,9;;28;21,9;28,4;28;22,2;21,6;71;67;70;279;,9;,4;
2026/01/01;0500 UTC;0;1009,2;1009,9;1009,2;;27,9;22;28,2;27,8;22,4;21,8;72;69;70;115;1,8;,7;
2026/01/01;0600 UTC;0;1008,5;1009,2;1008,5;;27,6;22,1;28,1;27,6;22,1;21,8;72;69;72;2;2,3;,5;
2026/01/01;0700 UTC;0;1008,2;1008,5;1008,2;;27,5;23,5;27,7;27,3;23,6;22;80;72;79;9;1,6;,6;
2026/01/01;0800 UTC;0;1008,2;1008,2;1008,1;;27,2;24,2;27,5;27,1;24,2;22,6;84;76;84;352;2;,7;
2026/01/01;0900 UTC;0;1008,6;1008,6;1008,2;55;27,2;24,5;27,2;27;24,8;23,7;87;81;85;354;1,8;,6;
2026/01/01;1000 UTC;0;1009;1009;1008,6;414,7;28;22,7;28,5;27,2;24,5;22,7;85;72;73;303;1,7;,7;
2026/01/01;1100 UTC;0;1009,2;1009,2;1009;1318,2;29,8;22,6;29,9;28;23,5;22,4;75;65;65;325;2,4;1;
2026/01/01;1200 UTC;0;1008,9;1009,2;1008,9;2240,1;32,8;21,8;32,9;29,7;22,6;21,5;65;52;53;323;2,2;,7;
2026/01/01;1300 UTC;0;1008,7;1008,9;1008,5;2926,2;33,5;21,5;34,7;32,3;22,2;20,3;53;46;49;279;2,8;1,4;
2026/01/01;1400 UTC;0;1008,1;1008,7;1008,1;3479,1;34,2;21,7;34,9;33;22,9;21,1;53;47;48;306;3,5;1,4;
2026/01/01;1500 UTC;0;1007,2;1008,1;1007,2;3001,9;37;21;37;34,1;21,9;20,2;49;39;40;198;4,7;1,9;
2026/01/01;1600 UTC;0;1006,6;1007,2;1006,6;3850,3;36,4;21,6;37,2;34,7;21,9;19,9;46;38;42;213;8,3;3,2;
2026/01/01;1700 UTC;0;1005,8;1006,6;1005,8;3023,4;33,6;20,9;36,6;33,6;21,7;20,6;47;41;47;190;7,6;2,4;
2026/01/01;1800 UTC;0;1005,1;1005,8;1005;3041,3;33;20,7;33,9;32,7;21,2;20,5;50;47;49;165;7,7;3,8;
2026/01/01;1900 UTC;0;1005,4;1005,4;1004,8;928,2;31,2;20,7;34;30,9;21,4;20;55;46;54;150;8,9;1,6;
2026/01/01;2000 UTC;0;1005,5;1006;1005,4;1197,6;32,8;21,1;33,2;31,1;21,5;20,7;55;49;50;171;4,8;1,8;
2026/01/01;2100 UTC;0;1005,9;1005,9;1005,4;432,9;31,4;20,5;32,8;31,4;21,1;20,4;52;50;52;88;4,3;1,5;
2026/01/01;2200 UTC;0;1006,2;1006,2;1005,9;34,3;31,2;21;31,4;31,1;21;20,3;55;52;55;68;3,5;1,4;
2026/01/01;2300 UTC;0;1006,5;1006,5;1006;;31;21;31,3;30,9;21,5;21;57;55;55;46;2,9;1,4;
2026/01/02;0000 UTC;0;1007;1007;1006,5;;30,5;21,4;31;30,3;21,7;20,7;60;55;59;342;2,8;,6;
2026/01/02;0100 UTC;0;1007,3;1007,5;1007;;29,7;22,2;30,7;29,7;22,6;20,8;64;56;64;19;3,6;1,2;
2026/01/02;0200 UTC;0;1006,9;1007,4;1006,8;;29,1;21,6;29,7;29,1;22;21,5;64;61;64;57;4,8;2,6;
2026/01/02;0300 UTC;0;1006,5;1006,9;1006,5;;28,9;21,3;29,2;28,9;21,8;21,3;65;63;63;45;4,8;,9;
2026/01/02;0400 UTC;0;1005,6;1006,5;1005,6;;28,6;20,8;29;28,6;21,5;20,7;65;62;63;33;3,2;1,4;
2026/01/02;0500 UTC;0;1005,2;1005,7;1005,2;;27,5;22,2;28,6;27,5;22,2;20,9;73;63;73;335;2,7;,8;
2026/01/02;0600 UTC;0;1004,6;1005,2;1004,6;;27,7;21,9;27,8;27,4;22,4;21,8;74;70;71;356;3,6;,6;
2026/01/02;0700 UTC;0;1005,1;1005,1;1004,4;;27,9;22,5;27,9;27,6;22,7;21,8;74;70;72;219;4,1;1,5;
2026/01/02;0800 UTC;0;1005;1005,1;1004,8;;27,3;21,6;28;27,2;22,4;21,5;72;70;71;162;6,1;,8;
2026/01/02;0900 UTC;0;1005,6;1005,7;1005;56,2;27,4;22,5;27,4;27,1;22,5;21,6;76;71;75;116;3,8;1,7;
2026/01/02;1000 UTC;0;1006;1006;1005,6;339,8;28,5;22,2;28,5;27,3;22,5;22,1;75;69;69;56;3,3;1,3;
2026/01/02;1100 UTC;0;1005,9;1006,1;1005,9;1074,5;29,5;22,2;29,7;28,5;22,5;21,7;69;62;65;333;3,5;1,3;
2026/01/02;1200 UTC;0;1005,9;1006,1;1005,9;1632,8;29,7;22,1;30,9;29,4;22,5;21,1;65;56;64;307;2,8;1,2;
2026/01/02;1300 UTC;0;1005,6;1006;1005,5;2947,5;31,9;21,2;33;29,7;22,4;20;64;48;53;308;3,3;1,5;
2026/01/02;1400 UTC;0;1005,2;1005,6;1005,2;2418,2;32,8;21,2;32,9;31,4;22;20,7;55;50;51;342;3,9;1,6;
2026/01/02;1500 UTC;0;1004,7;1005,2;1004,6;2150,7;33,7;21,4;33,8;32,4;22;20,2;53;46;49;332;3,9;1,3;
2026/01/02;1600 UTC;0;1004,1;1004,7;1004,1;2140,2;34,3;20,3;34,4;33,7;21,5;20,1;49;43;44;323;3,6;1,4;
2026/01/02;1700 UTC;0;1002,9;1004,1;1002,9;3027,4;36,6;18,4;36,7;34,3;20,2;17,2;44;32;35;322;3,6;1;
2026/01/02;1800 UTC;0;1002;1002,8;1002;2247,2;35,3;18,3;37,6;35,3;19;17,1;38;32;37;205;8,5;4,5;
2026/01/02;1900 UTC;0;1001,9;1002;1001,8;1397,3;34,9;18,7;35,8;34;19,8;18;43;35;38;203;8,6;4;
2026/01/02;2000 UTC;0;1002,4;1002,4;1001,8;518,2;32,3;18,1;35;32,3;19,1;17,4;43;38;43;192;10,1;4,5;
2026/01/02;2100 UTC;0;1003,6;1003,6;1002,3;159,2;30,7;19,9;32,3;30,5;20,4;18;55;43;53;136;10,1;1,4;
2026/01/02;2200 UTC;0;1004,4;1004,5;1003,6;13,3;29,6;20,2;30,8;29,6;21,1;19,8;60;52;57;70;5,1;1,6;
2026/01/02;2300 UTC;0;1005,7;1005,7;1004,4;;28,2;21,3;29,6;28,2;21,4;20;66;57;66;30;4,7;2,3;
2026/01/03;0000 UTC;2,8;1006,9;1006,9;1005,7;;26,3;25,8;28,2;26,3;25,9;21,1;97;65;97;1;4,2;,7;
2026/01/03;0100 UTC;1;1007;1007,3;1006,9;;26,2;25,7;26,6;26,1;26,1;25,6;97;97;97;8;2,9;1;
2026/01/03;0200 UTC;2,8;1005,8;1007;1005,7;;25,9;25,4;26,2;25,9;25,7;25,4;97;97;97;355;2,8;,7;
2026/01/03;0300 UTC;0;1005,3;1005,8;1005,3;;26;25,5;26,1;25,8;25,6;25,3;97;97;97;57;2,6;1,4;
2026/01/03;0400 UTC;0;1004,7;1005,3;1004,7;0;25,9;25,4;26;25,8;25,5;25,3;97;97;97;52;3;1,5;
2026/01/03;0500 UTC;0;1004,6;1004,7;1004,1;;25,3;24,8;25,9;25,3;25,4;24,8;97;97;97;291;2,7;,4;
2026/01/03;0600 UTC;0;1004,5;1004,7;1004,3;;25,5;25;25,5;25,3;25;24,8;97;97;97;324;1,3;,3;
2026/01/03;0700 UTC;0;1004,9;1004,9;1004,4;;25,7;25,2;25,8;25,5;25,3;25;97;97;97;336;1,9;,6;
2026/01/03;0800 UTC;0;1005,4;1005,4;1004,9;;25,9;25,4;25,9;25,6;25,4;25,1;97;97;97;10;1,8;,4;
2026/01/03;0900 UTC;0;1005,3;1005,5;1005,2;20,6;26,2;25,7;26,2;25,9;25,7;25,4;97;97;97;26;2,6;1,4;
2026/01/03;1000 UTC;0;1005,3;1005,4;1005,2;322,5;26,6;26,1;26,7;26,1;26,2;25,6;97;97;97;355;2,6;1,2;
2026/01/03;1100 UTC;0;1005,9;1005,9;1005,3;735,3;27,3;26,7;27,4;26,5;26,8;26;97;94;97;57;3,3;,9;
2026/01/03;1200 UTC;0;1005,9;1006;1005,8;2051,7;29,8;22,9;29,8;27,3;26,8;21,7;97;63;66;172;2,1;1;
2026/01/03;1300 UTC;0;1005,7;1006,1;1005,7;2152,4;30,6;22,5;30,7;28,6;23,6;21,9;70;60;62;274;2,7;1,5;
2026/01/03;1400 UTC;0;1005,7;1005,8;1005,6;2772,3;31,7;19,9;32,1;30,5;22,8;19,9;62;50;50;216;4,7;2,1;
2026/01/03;1500 UTC;,2;1005,3;1005,7;1005,3;2188,7;31,2;21,4;33,3;31,1;21,5;19,1;56;44;56;204;4,7;2,3;
2026/01/03;1600 UTC;0;1004,6;1005,3;1004,6;3407,8;33,9;20,7;33,9;31,2;22;20,6;57;46;46;214;4,6;1,8;
2026/01/03;1700 UTC;0;1004,1;1004,6;1004,1;3427,3;33,3;20,2;34,4;33,3;21,3;19,8;47;43;46;211;6,3;3,6;
2026/01/03;1800 UTC;0;1004,2;1004,4;1004;3000,9;31,2;22;33,8;30,3;22,2;20,2;60;46;58;173;7,7;3,3;
2026/01/03;1900 UTC;0;1003,9;1004,2;1003,4;1349,3;29,5;21;31,8;29,5;22,3;21;61;56;60;181;9,4;4,1;
2026/01/03;2000 UTC;0;1004,7;1004,7;1003,8;124;29,3;21;29,5;29,1;21,3;20,8;62;60;61;193;9,3;1,4;
2026/01/03;2100 UTC;0;1005,7;1005,7;1004,7;169,2;28,7;21,3;29,4;28,7;21,5;20,8;65;60;64;73;4,7;2,5;
2026/01/03;2200 UTC;0;1006,2;1006,2;1005,6;84,3;28,6;22;29,1;28,6;22;20,9;67;61;67;41;4,8;2,6;
2026/01/03;2300 UTC;0;1007,2;1007,2;1006,2;;27,2;21,3;28,6;27,1;22,2;21,2;71;68;70;45;5,5;1,9;
2026/01/04;0000 UTC;0;1007,5;1007,5;1007,2;;27,4;21;27,5;27,1;21,4;21;71;68;68;37;4;1,1;
2026/01/04;0100 UTC;0;1007,7;1007,8;1007,5;;27,2;21,1;27,5;27,1;21,3;21;70;68;70;45;3,2;1,4;
2026/01/04;0200 UTC;0;1007,8;1008;1007,7;;26,9;20,5;27,2;26,9;21,2;20,4;70;68;68;34;3,4;1,4;
2026/01/04;0300 UTC;0;1007,6;1007,9;1007,5;;26,7;20,7;27;26,7;20,8;20,4;70;68;70;35;3;1,3;
2026/01/04;0400 UTC;0;1007,2;1007,6;1007,2;;26,5;22;26,7;26,5;22,1;20,7;77;70;77;345;2,6;,6;
2026/01/04;0500 UTC;0;1006,5;1007,2;1006,5;;26,5;22,8;26,7;26,4;22,8;22;80;76;80;323;1,9;,6;
2026/01/04;0600 UTC;0;1006,5;1006,5;1006,3;;26,3;25;26,5;26,3;25;22,5;92;79;92;317;1,5;,5;
2026/01/04;0700 UTC;0;1006,8;1006,8;1006,5;;26,5;22,4;26,6;26,3;25,3;22,4;94;78;78;45;2,5;1,3;
2026/01/04;0800 UTC;0;1007,3;1007,3;1006,8;;26,4;21,1;26,5;26,4;22,2;21,1;78;73;73;48;2,5;1,1;
2026/01/04;0900 UTC;0;1007,9;1007,9;1007,3;31,2;26,4;21,6;26,4;26,3;21,6;21;75;72;75;131;2,1;,7;
2026/01/04;1000 UTC;0;1008,8;1008,8;1007,9;240,4;26,8;21,7;26,9;26,3;22;21,6;76;73;73;299;1,6;,6;
2026/01/04;1100 UTC;0;1009;1009,2;1008,7;584,5;27,8;21,5;27,9;26,8;22,4;21,1;75;67;69;180;7,3;2,2;
2026/01/04;1200 UTC;0;1009,9;1009,9;1009;1547,6;28,7;20,8;30,1;27,7;21,4;20,7;69;58;63;211;8,9;4,1;
2026/01/04;1300 UTC;0;1010,2;1010,2;1009,9;2248,6;30;20,7;30;28,3;21,4;20,4;64;57;58;182;8,9;2,9;
2026/01/04;1400 UTC;0;1010,2;1010,2;1010;2644,4;29,6;20,3;30,5;28,9;20,7;19,8;60;54;57;163;7,1;2,3;
2026/01/04;1500 UTC;0;1010,3;1010,3;1010,1;2794,3;28,1;20,4;30,5;28,1;20,9;19,9;63;54;63;150;8,9;3,2;
2026/01/04;1600 UTC;0;1010,4;1010,6;1010,3;2298,6;28,3;19,6;28,8;27,3;20,6;19,3;66;58;59;188;12,7;4,4;
2026/01/04;1700 UTC;0;1010,4;1010,5;1010,1;3318,5;28,5;19,3;29,1;27,8;19,9;18,9;60;57;57;161;10,9;3,5;
2026/01/04;1800 UTC;0;1010,4;1010,5;1010,2;1782,2;27,1;19,1;28,6;26,8;19,6;18,8;63;57;61;173;10,2;3,2;
2026/01/04;1900 UTC;0;1010,7;1010,7;1010,3;1074,3;26,2;18,5;27,3;26,2;19;18,2;62;60;62;181;12,3;4,6;
2026/01/04;2000 UTC;0;1011,2;1011,2;1010,6;288,7;25,7;18,5;26,4;25,7;18,7;18,4;65;62;64;166;12,3;2,7;
2026/01/04;2100 UTC;0;1012,2;1012,2;1011,2;193,3;25,6;18,1;26;25,6;18,5;18;64;62;63;131;8,9;2,2;
2026/01/04;2200 UTC;0;1013,1;1013,1;1012,2;11,5;25,3;17,8;25,6;25,2;18,2;17,8;65;63;63;174;6,7;1,9;
2026/01/04;2300 UTC;,4;1014,4;1014,4;1013,1;;22,9;20,6;25,4;22,9;21,4;17,5;90;62;87;187;8,5;2,7;
2026/01/05;0000 UTC;0;1015;1015,1;1014,4;;22,9;19,6;22,9;22,6;21,1;19,2;90;80;82;182;8,1;2,6;
2026/01/05;0100 UTC;0;1015,6;1015,6;1015;;23;18,4;23;22,7;20;18,3;84;75;75;186;6,1;2,5;
2026/01/05;0200 UTC;0;1015,5;1015,6;1015,4;;22,9;18,4;23,2;22,8;18,5;18,1;76;73;76;175;6,6;1,6;
2026/01/05;0300 UTC;1;1015,2;1015,6;1015,2;;21,9;21,4;22,9;21,9;21,7;18,5;97;76;97;188;5,2;2,4;
2026/01/05;0400 UTC;,4;1015;1015,2;1015;;21,7;21,2;21,9;21,5;21,4;21,1;97;97;97;192;5,8;1,5;
2026/01/05;0500 UTC;0;1014,5;1015;1014,5;;21,4;20,9;21,9;21,4;21,4;20,9;97;97;97;182;5,3;2,1;
2026/01/05;0600 UTC;0;1014,5;1014,6;1014,4;,1;21,7;18,5;21,8;21,2;21,2;18,2;97;80;82;169;5,5;1,2;
2026/01/05;0700 UTC;0;1014,9;1014,9;1014,5;1,9;21,9;17,7;22;21,6;18,8;17,5;84;76;77;200;3,5;1,5;
2026/01/05;0800 UTC;,2;1015,4;1015,4;1014,9;;20,9;20,4;22;20,9;20,6;17,4;97;76;97;37;5,5;,4;
2026/01/05;0900 UTC;,4;1016;1016;1015,4;10;20,9;20,4;21;20,8;20,5;20,4;97;97;97;9;2;,4;
2026/01/05;1000 UTC;,2;1016,4;1016,4;1015,9;128,7;21,6;20,1;21,6;20,9;20,9;19,7;97;90;91;228;3,7;1;
2026/01/05;1100 UTC;0;1016,7;1016,7;1016,4;499,4;22,9;16;22,9;21,6;19,5;15,8;91;65;65;8;2,7;,6;
2026/01/05;1200 UTC;0;1017,4;1017,4;1016,7;702,9;23,5;15,8;23,6;22,9;16,3;15,1;65;60;62;58;2,5;1;
2026/01/05;1300 UTC;0;1017,6;1017,6;1017,4;1810,4;25,3;17,4;25,5;23,4;18,1;15,8;66;61;62;356;3,9;1,5;
2026/01/05;1400 UTC;0;1017,3;1017,6;1017,3;1844;25;17,4;25,3;24,1;17,9;16,7;67;60;63;330;4,3;1,7;
2026/01/05;1500 UTC;0;1017,2;1017,3;1017,1;1291,7;24,4;16,3;25,2;24,2;17,4;16,3;63;60;61;300;5,1;1,3;
2026/01/05;1600 UTC;0;1017;1017,3;1017;642,9;24;16,2;24,7;24;17;16;64;59;62;340;4;1,2;
2026/01/05;1700 UTC;0;1016,7;1017,1;1016,7;956,4;25,1;15,7;25,2;23,9;17;15,5;63;56;56;336;3,7;1,5;
2026/01/05;1800 UTC;0;1016,3;1016,7;1016,3;1270;24,9;15,6;25,8;24,8;16,2;15,3;58;54;56;334;3,6;1,4;
2026/01/05;1900 UTC;0;1016,3;1016,4;1016,3;305,3;24,5;15,5;25;24,4;16;15,4;59;56;58;339;2,9;,7;
2026/01/05;2000 UTC;0;1016,6;1016,6;1016,3;261,9;25,1;14,9;25,2;24,4;15,8;14,5;59;52;53;59;3,5;,9;
2026/01/05;2100 UTC;0;1017;1017;1016,6;120,8;24,8;15,1;25,2;24,7;15,2;14,8;55;53;55;43;3,9;1,3;
2026/01/05;2200 UTC;0;1017,8;1017,8;1017;14,4;24,4;15,1;24,8;24,4;15,2;14,9;56;54;56;62;3,5;1,1;
2026/01/05;2300 UTC;0;1018,3;1018,3;1017,8;;23,9;15,6;24,5;23,9;15,9;15,1;61;56;60;53;3,6;1,6;
2026/01/06;0000 UTC;0;1018,5;1018,6;1018,3;;23,8;15,3;23,9;23,7;15,5;15,1;60;59;59;58;3,6;1,3;
2026/01/06;0100 UTC;0;1018,8;1018,8;1018,5;;23,5;15,5;23,8;23,5;15,6;15,3;61;59;61;71;2,6;1;
2026/01/06;0200 UTC;0;1018,8;1018,8;1018,7;;23,4;15,7;23,5;23,4;15,7;15,4;62;60;62;89;2,3;1;
2026/01/06;0300 UTC;0;1018;1018,8;1018;;23,3;15,5;23,4;23,2;15,8;15,5;63;61;61;105;2,6;,9;
2026/01/06;0400 UTC;0;1017,3;1018;1017,3;;22,9;16,5;23,3;22,9;16,5;15,5;67;61;67;152;1,9;,8;
2026/01/06;0500 UTC;0;1017;1017,4;1017;;22,9;16,3;23;22,8;16,5;16;68;65;66;91;1,8;1;
2026/01/06;0600 UTC;0;1016,9;1017,1;1016,8;;23;15,4;23;22,8;16,4;15,3;67;62;62;83;1,8;,8;
2026/01/06;0700 UTC;0;1017,1;1017,3;1016,9;;23;15,3;23,1;22,9;15,8;15,1;64;61;62;94;1,6;,6;
2026/01/06;0800 UTC;0;1017,4;1017,4;1017;;23;15,2;23;22,9;15,3;15,1;62;61;61;75;2,5;,9;
2026/01/06;0900 UTC;0;1017,7;1017,7;1017,3;34,8;22,9;14,9;23;22,8;15,3;14,8;62;60;61;97;1,9;,8;
2026/01/06;1000 UTC;0;1018,2;1018,2;1017,7;330,4;23,7;15;23,7;22,9;15,7;14,9;63;58;58;76;3,2;1,6;
2026/01/06;1100 UTC;0;1018,5;1018,6;1018,2;888,7;25,3;15,4;25,3;23,7;15,6;15;59;54;54;55;3,5;1,6;
2026/01/06;1200 UTC;0;1019;1019;1018,5;1207,7;25,6;15,6;25,6;25,1;15,9;15,3;56;54;54;77;3,9;2,1;
2026/01/06;1300 UTC;0;1018,8;1019;1018,8;1508;26,4;15,4;26,5;25,2;15,9;15,1;56;50;51;98;5,6;2,1;
2026/01/06;1400 UTC;0;1018,7;1019;1018,7;1519,4;27,7;13,4;27,7;26,2;15,8;13,2;52;41;41;47;6,1;2,7;
2026/01/06;1500 UTC;0;1018,1;1018,7;1018,1;1964,1;27,7;14,4;28,2;27,2;15;13,1;46;41;44;44;7;2,2;
2026/01/06;1600 UTC;0;1017,9;1018,1;1017,8;1247,5;27,4;14,3;28,2;27,3;15,4;13,9;47;43;45;42;8,4;3,1;
2026/01/06;1700 UTC;0;1017,8;1018;1017,8;722,2;26,1;16;27,4;26;16,5;14,1;56;44;54;90;8,4;1,7;
2026/01/06;1800 UTC;0;1017,1;1017,8;1017,1;892,1;26,2;15,2;26,7;26,1;15,9;14,1;54;47;51;72;6,4;2,9;
2026/01/06;1900 UTC;0;1016,7;1017,1;1016,5;1628,3;27,4;14,7;28;26,2;15,7;14,4;51;44;46;89;7;3;
2026/01/06;2000 UTC;0;1016,4;1016,7;1016,2;1048,9;27,4;15,3;28;27,2;15,5;14,3;48;45;48;74;7;2,9;
2026/01/06;2100 UTC;0;1016,6;1016,7;1016,4;482,6;26;15,9;27,4;26;15,9;15,3;54;48;54;69;7;2,6;
2026/01/06;2200 UTC;0;1017;1017;1016,6;48,3;25,1;16,1;26;25,1;16,7;15,9;59;54;57;66;6,2;1,9;
2026/01/06;2300 UTC;0;1017,5;1017,5;1017;;24,6;16,3;25,1;24,6;16,3;16,2;60;57;60;67;5,4;2;
2026/01/07;0000 UTC;0;1017,9;1018;1017,4;;24,1;17;24,6;24,1;17,1;16,3;65;60;65;72;6,5;1,7;
2026/01/07;0100 UTC;0;1018,2;1018,4;1017,8;;23,8;17,2;24,1;23,8;17,2;17;66;65;66;75;4,4;1,5;
2026/01/07;0200 UTC;0;1017,6;1018,3;1017,6;;23,8;17;24;23,8;17,2;16,9;66;65;66;75;5,4;2,4;
2026/01/07;0300 UTC;0;1017;1017,7;1017;;23,5;17,1;23,8;23,5;17,2;17;67;66;67;61;5,4;1,9;
2026/01/07;0400 UTC;0;1016,5;1017;1016,5;;23,3;17,2;23,5;23,3;17,2;17,1;69;67;69;82;4,1;1,8;
2026/01/07;0500 UTC;0;1016,1;1016,5;1016,1;;23,2;17,3;23,3;23,2;17,4;17,2;70;69;70;59;3,6;,8;
2026/01/07;0600 UTC;0;1015,4;1016,1;1015,4;;23,1;17,3;23,2;23;17,4;17,2;71;69;70;184;2,8;,5;
2026/01/07;0700 UTC;0;1015,5;1015,6;1015,4;;23;17,6;23,1;22,9;17,6;17,3;72;70;72;356;1,8;,3;
2026/01/07;0800 UTC;0;1015,7;1015,8;1015,5;;23,2;17,4;23,2;22,9;17,6;17,4;72;70;70;70;2,4;1,1;
2026/01/07;0900 UTC;0;1016,3;1016,3;1015,7;11,1;23,2;17,6;23,2;23,1;17,7;17,4;71;70;71;63;2,4;,7;
2026/01/07;1000 UTC;0;1016,8;1016,8;1016,3;152,7;23,7;17,8;23,7;23,2;17,9;17,6;71;69;69;97;2,2;,6;
2026/01/07;1100 UTC;0;1016,8;1016,9;1016,6;338,2;24,2;17,9;24,2;23,7;18,1;17,7;69;67;68;44;2,5;,8;
2026/01/07;1200 UTC;0;1017,3;1017,3;1016,8;545,7;25,2;18;25,3;24,2;18,3;17,9;69;64;64;25;3,2;,8;
2026/01/07;1300 UTC;0;1017,2;1017,4;1017,1;1303,9;25,6;19,1;26;25,2;19,1;17,7;68;63;68;271;2,8;1,2;
2026/01/07;1400 UTC;0;1017,3;1017,4;1017,2;1191,8;26,9;18,9;27;25,3;19,2;18,6;68;61;62;6;4,1;,9;
2026/01/07;1500 UTC;0;1017,3;1017,4;1017,2;742,9;24,9;20,8;26,9;24,9;21,7;18,8;82;62;78;360;3,4;1,4;
2026/01/07;1600 UTC;,8;1017,1;1017,3;1017;434,7;24,9;20,6;25,2;24,9;22;20,1;83;75;77;24;4,4;1,7;
2026/01/07;1700 UTC;,8;1016,3;1017,1;1016,3;416,7;24,7;22,3;25;24,6;24,2;20,6;97;77;86;293;3,2;,3;
2026/01/07;1800 UTC;,4;1015,7;1016,3;1015,7;459,9;25,1;20;25,3;24,6;22,2;20;86;73;73;78;2,4;1,1;
2026/01/07;1900 UTC;0;1015,2;1015,7;1015,2;284,3;25;20,8;25,2;24,7;22,1;19,9;84;73;77;36;2,4;,9;
2026/01/07;2000 UTC;0;1014,8;1015,2;1014,7;325,6;25,4;21,1;25,4;25;21,5;19,8;81;71;77;253;2,6;,7;
2026/01/07;2100 UTC;0;1014,8;1015;1014,6;215,8;24,9;22,3;25,4;24,9;22,5;20,9;86;76;86;302;3;,8;
2026/01/07;2200 UTC;,2;1014,8;1014,9;1014,7;17,7;24,5;24;24,9;24,4;24,3;22,4;97;86;97;312;2,4;,5;
2026/01/07;2300 UTC;0;1014,9;1014,9;1014,2;;24,6;24,1;24,7;24,4;24,2;23,9;97;97;97;308;2,4;,5;
2026/01/08;0000 UTC;0;1015,3;1015,3;1014,9;;24,7;24,2;24,8;24,5;24,3;24,1;97;97;97;101;2,4;,6;
2026/01/08;0100 UTC;0;1015,2;1015,7;1015,2;;24,6;24,1;24,7;24,4;24,2;23,9;97;97;97;158;2,9;1,3;
2026/01/08;0200 UTC;0;1015,5;1015,7;1014,7;;24,7;23,5;25;24,6;24,4;23,1;97;90;93;243;4,3;,3;
2026/01/08;0300 UTC;0;1014,8;1015,6;1014,8;;24,5;22,5;24,7;24,4;23,8;22,3;97;87;88;118;2,1;,6;
2026/01/08;0400 UTC;0;1014,6;1014,9;1014,6;;24,2;23,7;24,5;24,2;23,8;22,3;97;88;97;226;1,4;,3;
2026/01/08;0500 UTC;0;1014,4;1014,7;1014,3;;23,7;23,2;24,2;23,7;23,7;23,2;97;97;97;240;,7;,3;
2026/01/08;0600 UTC;0;1014,3;1014,4;1014,2;;23,5;23;23,8;23,4;23,3;22,9;97;97;97;14;1,5;,4;
2026/01/08;0700 UTC;0;1014,2;1014,3;1014,1;;23,5;23;23,6;23,4;23,1;22,9;97;97;97;188;1,7;,4;
2026/01/08;0800 UTC;0;1014,5;1014,5;1014,2;;23,5;23;23,5;23,3;23;22,8;97;97;97;73;1,1;,5;
2026/01/08;0900 UTC;0;1014,9;1014,9;1014,4;64,2;23,7;23,2;23,7;23,4;23,2;22,9;97;97;97;56;1,2;,4;
2026/01/08;1000 UTC;0;1015,4;1015,4;1014,9;346;25,2;23,2;25,2;23,7;24,5;23,2;97;88;88;270;1;,3;
2026/01/08;1100 UTC;0;1015,5;1015,6;1015,4;1041,1;26,2;20;26,9;25,2;23,1;19,4;88;64;69;309;3,4;1,2;
2026/01/08;1200 UTC;0;1015,9;1015,9;1015,5;1875,4;28,1;20,6;28,1;25,9;20,8;19,4;70;61;64;341;3,4;,9;
2026/01/08;1300 UTC;0;1015,7;1015,9;1015,5;3042,1;30,6;19,3;30,6;27,5;20,6;18,7;63;50;51;305;3,1;1,6;
2026/01/08;1400 UTC;0;1015,1;1015,7;1015,1;3319,3;31,5;18;31,8;30,1;19,9;16,9;54;43;45;310;3,8;1,6;
2026/01/08;1500 UTC;0;1014,6;1015,1;1014,6;3194,7;31,8;17,1;32,7;30,4;18,6;16,8;46;40;42;332;3,9;1,3;
